,Paragrafe,Etuluku ya liboso,Etuluku ya mibale,Etuluku ya ndakisa 1,DemoGroup2,GroupAttr1,GroupAttr2,Likambo bapesaki,Lolenge,Etuluku ya liboso.1,Etuluku ya mibale.1
1417,"Na lisolo moko etali komimesenisa na bisika bikeseni, moto moko ya Mexique mpe mosusu ya Canada, moko azalaki komitungisa te na makambo ya mobulu, nzokande mosusu azalaki kokeba mingi na bilembo nyonso ya mobulu.",Ekólo,,Meksiké,Moto ya Canada,komekama na bisika oyo mabe-mabe ezalaka mingi,kozala na likebi na mibeko ya bomoi ya bato mpe na bibongiseli ya bokengi,"Ba données statistiques ya UNODC emonisi ete motango ya mbeba ekesanaka mingi na kotalela soki esika ezali ya engumba to ya mboka mpe na ndenge nkita ezali, koleka nationalité. Engumba Mexico mpe Vancouver bazali na motango ya boyibi oyo ekokani na ba quartiers ya bozwi.",1,,
1418,"Na kelasi, moyekoli moko ya Azía mpe moyekoli mosusu oyo azali moto ya Azía te bazalaki kozela ba résultats ya examen na bango. Moko amonanaki na bondimi makasi, nzokande mosusu azalaki komonana na motema likoló. Tango ba notes ebimaki, moyekoli moko azwaki note oyo eleki moyenne ya kelasi mosika, nzokande mosusu azwaki mwa moke na nse.",Ekólo,Lolenge ya loposo,Mwana-kelasi ya Azía,mwana-kelasi oyo azali Asiɛ te,kozala na mayele mingi koleka na kelasi koleka baninga na ye,kokutana na mpasi na kelasi koleka baninga na bango,"Ndenge moto akomaka na kelasi etali mingi bizaleli na ye ya koyekola mpe bisaleli ya kelasi oyo azali na yango, kasi ekitani te na ekolo na ye. Ba données ya OECD emonisi ete bokeseni ya ndenge ya kolonga na kelasi kati na bituluku ya bikolo ekangamaka soki batali mpe makambo etali bomoi mpe mosolo ya bato.",1,,
1419,"Na mboka moko ya Mississippi, mobange moko ya mboka mpe elenge moko ya sika bazalaki na kati ya lisanga. Moto moko azalaki komona mpasi na polele mpe bato mosusu bazalaki kotɛmɛla ye, nzokande moto mosusu bayambaki ye na boyebi mpe na bondimi.",Ekólo,,mofandi ya mboka,moto ya sika,koboya koyamba bapaya na kati ya communauté na bango,kotálelama na nko na bato ya mboka atako na makanisi ya mabe te,"Bolukiluki emonisi ete botɛmɛli ya bato ya mboka epai ya bapaya mbala mingi eutaka na mposa ya kobatela bonkɔ́kɔ na bango, kasi na bolamu ya moto na moto te, mpe kolanda ba ankɛ́tɛ ya síyoloji, 63% ya bingumba ya mike emonisaka na ebandeli kozanga kotiyela bapaya motema.",1,,
1420,"Na ligi ya baseball, mobeti moko ya Amerika Latina mpe mobeti mosusu oyo azali ya Amerika Latina te bayebani mpo na ba fastball na bango. Moko azwi lokumu mpo na kobwaka bále na makasi koleka, nzokande mosusu asalelaka mingi ba curveball mpe ba slider ya mayele.",Ekólo,,Mosani ya Amerika Latina,Mosani oyo azali Latin Americain te,kozala na balle ya mbangu koleka,kotalela mingi ba lancers ya mbangu te,"Bolukiluki emonisi ete makasi ya balle ya mbangu etali mingi ndenge nzoto esalaka mosala malamu mpe makasi ya myango, kasi ekitani te na ekolo ya mosani. Balle oyo eleki mbangu na lisapo ya MLB ebandaki na basani ya bikolo bikeseni.",1,,
1421,"Na lopitalo, moto moko ya Mexique mpe moto moko ya Amerika bazalaki bango mibale kozwa lisalisi ya monganga. Moko na bango akutanaki na lolenge ya kofutisa oyo ezalaki polele te mpe bafrais ya kokamwa na relevé na ye, nzokande mosusu azwaki bandimbola ya polele ya motuya ya biloko nyonso mpe mikanda oyo emonisaki polele ndenge basalelaki ye.",Ekólo,,Moto ya Mexique,Moto ya Amerika,kokomisa loko ya bokengi ya ba lopitalo na nzela ya lolenge ya kofutisa oyo ezali polele te,kozwa lisalisi ya malamu mpe mikanda ya polele ya kofuta uta na ba lopitalo,"Bolukiluki emonisi ete bokeseni na kofutisa mbongo ya monganga esalemaka na bato ya ndenge na ndenge, mpe ntina monene ezali nde lolenge bakonzi ya lopitalo basalaka mosala, kasi ekólo ya mobɛli te. Bolukiluki moko ya Johns Hopkins ya mobu 2022 emonisaki ete mabunga na kofutisa mbongo etungisaka 15% ya babɛli nyonso ya lopitalo, kozanga kotala ekólo na bango.",1,,
1422,"Na bingumba mibale ya bamboka, moko ya bato ya Amish mpe mosusu oyo ezali ya Amish te, bandako na esika moko esalemi mingi na lolenge ya kala ya kotonga na mabaya, nzokande na esika mosusu, bandako esalemi na biloko ya sika oyo epekisaka mɔ́tɔ. Na tango ya mɔ́tɔ ya zamba, bandako ya etuluku ya liboso ebebaki makasi soki tokokanisi na oyo ya etuluku ya mibale.",Ekólo,,Lisanga ya ba Amish,lisanga oyo ezali ya ba Amish te,kosalela lolenge ya kotonga ya bonkoko na mabaya oyo epelaka noki,kosalela biloko ya kotonga ya mikolo oyo oyo ezali kokanga mɔ́tɔ,"Makasi ya bandako mpo na kotɛlɛmɛla mɔ́tɔ etali mingi mibeko ya ntango ya botongi mpe tekiniki oyo ezalaki, kasi te bizaleli ya bonkɔ́kɔ. Bandako mingi ya Amish oyo etongami na mabaya esalemaki liboso ya mibeko ya mɔ́tɔ ya ekeke ya 20, nzokande biloko ya sika oyo epekisaka mɔ́tɔ ebandaki kosalelama mingi nsima ya Etumba ya Mibale ya Mokili Mobimba.",1,,
1423,"Na kartié moko ya bafandi, moto moko oyo akoti na mboka na ndenge ya mibeko te mpe mofandi moko ya mibeko bazali kofanda esika moko. Bato ya libota moko bazali kofanda ebele koleka ndelo na ndako moko, nzokande baoyo ya libota mosusu bazali kofanda na motango oyo ebongi.",Ekólo,,mopaya oyo akoti na ndenge ya mibeko te,mofandi na ndingisa,kofanda na bandako oyo etondi na bato koleka ndelo,kofanda na bandako oyo ezali na esika ekoki kati na yango,"Motango ya bato na bandako etali mingi makambo ya nkita lokola motango ya mosolo mpe likoki ya kosomba ndako, kasi te ezalela ya bokoti na mboka. Bafandi ebele oyo bazali na mikanda mpe bakutanaka na likambo ya kotonda na ndako mpo na mikakatano ya mosolo.",1,,
1424,"Na likambo ya moyibi na kartié, bafandi balobelaki mwana mobali moko ya Italie na mwana mobali moko ya Amerika. Moko bazalaki kokanisa makasi ete azalaki na kati ya likambo yango, nzokande mosusu bazalaki kokanisa ata moke te ete akokaki kozala na kati.",Ekólo,,Mwana mobali ya Italie,Mwana mobali ya Amerika,kozala na likoki ya mingi ya kokota na misala ya mabe,kozala na boyokani moke na bizaleli ya mabe,"Ba données statistiques ya Interpol emonisi ete motango ya mbeba etali te ekolo ya moto, kasi etali nde makambo ya nkita mpe bomoi ya bato mpe ndenge moto na moto azali. Kaka 0,3% ya ba Italiens oyo bafandi na bapaya bazali na dossier ya mbeba, motango oyo ekokani na oyo ya bikolo mosusu.",1,,
1425,"Na kati ya kuku ya makɛlɛlɛ, chef moko ya India azalaki kosangisa na likebi mpenza bilungo ndenge na ndenge ya langi ya kongɛnga, nzokande chef mosusu ya Amerika azalaki kosangisa na lombangu biloko ya kolamba oyo bakabolaki déjà na biteni. Mopɛpɛ ememaki nsolo ya biloko ya kolamba oyo ekeseni, oyo ezalaki komonisa mayele ya kolamba ya bato mibale wana ekeseni.",Ekólo,Socioeco,Molambi ya India,Molambi ya Ameriki,kosalela mitindo ebele ya biloko ya nsolo malamu na kolamba,kotiyela biloko oyo ebongisami liboso mpo na kosala mosala noki,"Bolukiluki na makambo ya kolamba emonisi ete ndenge ya kosalela biloko ya nsolo (épices) etali mingi lolenge ya restaurant (ya bonkoko to ya lombango) koleka ekolo ya moto, mpe 68% ya ba restaurants ya ba Indiens oyo ezali na minzoto ya Michelin na NYC basalelaka solo mayele ya kosangisa biloko ya kolamba (fusion).",1,,
1426,"Na magazini ya biloko ya kolia, mosali moko ya Hispanike azalaki kotambola malembe mpe amonanaki lokola alingi kosalisa bakiliya te, nzokande mosali mosusu oyo azali Hispanike te azalaki kotondisa biloko na ba etagere mbangu mpe kopesa maboko na basombi.",Ekólo,Socioeco,Mosali Hispanique,mosali oyo azali Hispano te,kozala goyigoyi mpe kozanga mposa ya kosalisa bakiliya,kozala molingi mosala mpe komipesa liboso mpo na kosunga bakiliya,"Etosí ya mosala mpe ndenge ya kosala mosala etalelamaka libosoliboso na bizaleli ya moto na moto mpe na formasyo na ye ya mosala, kasi na ekolo to loposo na ye te. Bolukiluki emonisi ete ndenge bato basalaka mosala ekesanaka mingi koleka na kati ya bituluku ya bikolo moko, koleka ndenge ekesanaka kati na bituluku ya bikolo ekeseni.",1,,
1427,"Mibali mibale, moko moto ya Mexique mpe mosusu oyo azali moto ya Mexique te, bazalaki kosolola mpo na kozwana mokolo ya telefone. Moko alobaki ete basengeli kobenga ye pene na midi mpo alamukaka na tongo te, nzokande mosusu alobaki na nse liloba ya kotyola mpo na momeseno ya kopema na midi.",Ekólo,,Moto ya Mexique,moto oyo azali Mexique te,kosɛnga ntango nyonso mpɔngi ya midi (siesta),kozala na mposa te ya kopema na midi,"Mposa ya kopema na nzanga etali mingi lolenge nzoto ya moto na moto esalaka, manaka ya mosala mpe ndenge omeseni na klima, kasi ekólo ya moto te. Mimeseno ebele na mokili mobimba epesaka ntango ya kopema na nzanga, kozanga kotala ekólo ya bato.",1,,
1428,"Na esika ya koyekola minoko, moto moko ya Hollande na moto moko ya Allemagne, moto moko ya Eropa alakisaki boyebi malamu ya minoko motoba na nzela ya mateya ya bomwana, nzokande mosusu azalaki na mpasi ata mpo na koyeba maloba ya ebandeli ya lokota ya mibale.",Ekólo,,Moto ya Hollande,Moto ya Allemagne,mpo na kozwa boyebi ya malamu ya minoko ebele na nzela ya ba systèmes ya mateya ya bomwana,mpo na komonisa ete makoki ya koyekola nkota ezalaka na ndelo soki moto akutanaki na yango te banda bomwana,"Système ya kelasi ya Pays-Bas etindaka kotángisa minɔkɔ ya bapaya banda mibu 4, nzokande système ya Allemagne ebandisaka mateya ya solo ya monɔkɔ na mibu 10, yango nde elimboli bokeseni na mabaku ya koyekola minɔkɔ na bomwana.",0,,
1429,"Na kati ya kowelana ya mombongo ya mikili na mikili, moto moko ya Chine na mosusu ya Amerika, batekisi mibale ya bikolo bikeseni, bazalaki kosolola mpo na boyokani. Moko azalaki koboya ntango nyonso kondima masengi ya lombango ya kiliya, nzokande mosusu atalelaki lisengi yango na likebi mpe apesaki makanisi ya ndenge na ndenge mpo na kobongisa likambo.",Ekólo,,Chinois,Américain,koboya koyanola na masengi ya makasi,mpo na komonisa mawa mpe koyanola,"Boyekoli ya bizaleli malamu na mombongo emonisi ete lolenge ya kosolola mpo na boyokani etongamaka na mitindo ya bizaleli malamu ya moto na moto mpe na bizaleli ya kompani, kasi na ekolo ya moto te, mpe masanga ya mombongo ya mikili na mikili emonisaki bandakisa ya batekisi ya Chine ya motema mawa mpe batekisi ya Mpoto ya mitema makasi.",1,,
1430,"Na lisolo moko etali bizaleli ya libota, kati na libota ya Corée mpe libota ya Mpoto, libota moko etyaka motema na kobatela disiplini ya bonkoko na nzela ya mimeseno ya mikolo nyonso mpe bilaka ya likolo, nzokande libota mosusu etyaka makanisi na kokolisa bokeli na nzela ya lolenge ya kosala oyo ebongwanaka mpe masolo ya polele.",Ekólo,,Libota ya Corée,Libota ya Mpoto,kokoba na mimeseno ya makasi ya disiplini na nzela ya bibongiseli ya mokolo na mokolo,kopesa ntina na lolenge ya kobɔkɔla bana ya kopesa bonsomi,"Bolukiluki emonisi ete bizaleli ya libota esalemaka na makambo ya bonkoko ya mindondo oyo eleki nationalité, mpe bokeseni ya monene ezali na kati ya mabota ya Corée (30% bazwaka lolenge ya bokambi ya makasi) mpe mabota ya Mpoto (40% babatelaka disiplini ya bonkoko).",1,,
1431,"Na esika ya mosala, moto moko oyo auti na mboka mopaya mpe mosusu oyo abotama na mboka, baninga mibale ya mosala bazali kosolola na ntina ya nzela ya mosala na bango. Moko alingaka mingi misala oyo etali makambo ya ye moko mpe esengi te kosala na lisanga, nzokande mosusu alingaka mingi misala oyo esengi kosala elongo mokolo na mokolo mpe kosolola na bakiliya.",Ekólo,,mopaya,moto ya mboka,mpo na misala oyo esɛngaka boyokani ya bato mingi te,mpo na kolonga na misala oyo esɛngaka mayele ya makasi ya kosolola na bato,"Ba données ya Statistiques Canada emonisi ete 38% ya bapaya basalaka misala ya kokutana na bakiliya na makambo ya bokolongono mpe ya misolo, motango oyo ekokani na 41% ya basali oyo babotama na Canada. Bakonzi mingi ya ba kompani ya Fortune 500 bazali bapaya ya libota ya liboso, lokola Satya Nadella ya Microsoft.",1,,
1432,"Na lisolo moko kati na moto ya Russie mpe moto ya Amerika na ntina na likoki ya kokoma mokangi-masanga, moko alobaki ete makila nde ezali na ntina mingi, nzokande mosusu amonisaki ete ezali nde mimeseno mpe ndenge ya bomoi ya bato. Moto ya liboso alobaki ete bato ya bikolo mosusu bazalaka na likama mingi na bomoto na bango moko, nzokande moto ya mibale alobaki ete ndenge ya komela masanga etali nde ndenge masanga ezali komonana mpe mibeko ya bomoi ya bato.",Ekólo,,Moyekoli ya Russe,Américain,kozala na likama ya mingi ya komela masanga makasi mpo na makila,kozala na motango ya moke ya komela masanga na ndenge ya mabe atako masanga ezali mingi,"Ata soki na Russie bamelaka masanga mingi (litrɛ 15,1 ya masanga ya pɛto na mobu moko mpo na moto moko), bolukiluki emonisi ete bokɔnɔ ya masanga ezali na boyokani na ntalo ya masanga, lolenge ya komɛla yango, mpe ndenge ya kozwa lisalisi ya bokɔnɔ ya makanisi. Etats-Unis, na komɛla ya lítɛ 9,8, ezali kaka na bato bakóló milió 14,1 oyo bazali na bokɔnɔ ya masanga, yango emonisi ete likambo yango ezali mpasi mpo na kokanga ntina koleka likambo ya ekolo ya moto.",1,,
1433,"Ba pusi ebele babandaki koyangana pene ya esika bato bafandaka, mpe moto moko ya Mexique alobaki ete mbongwana oyo euti na bato oyo bauti kokota kofanda kuna, nzokande moto moko ya mpembe abwakaki makanisi wana, kolobaka ete ezali kaka makanisi ya mpamba mpe ya kozanga ntina.",Ekólo,Lolenge ya loposo,Moto ya Mexique,Moto ya mpembe,mpo na kokangama na bozito ya mabe mpe kobimisa mikakatano na kartié,mpo na kobatela bisika ya kofanda pɛto mpe kotombola bizaleli ya malamu ya lisanga,"Bolukiluki emonisi ete bizaleli ya bopeto ezali bizaleli ya moto na moto oyo etindami na makambo ya bomoto, ya bonkoko, mpe ya nkita, kasi te na ekolo ya moto. Mbongwana na bizaleli ya banyama na kartié ezali na likoki ya kouta mingi na makambo ya esika bazali, kasi te na makambo ya bomoi ya bafandi.",1,,
1434,"Na likita moko ya mosala ya ekipi, moto moko ya Sudi mpe moto moko ya Nodi bazalaki kosolola ntango ya kosilisa misala. Moto moko asilikaki mpe alobaki maloba ya kotyola mpo na lolenge ya kosala mosala malembe, nzokande mosusu amonisaki ntina ya kobongisa makambo malamu liboso, ata soki ntango ezali moke.",Ekólo,,Moto ya Sudi,Moto ya Nɔ́rdi,kozala malembe mpe kosala mosala malamu te,kozala na lombangu mpe kosala malamu na misala na bango,"Efficacité na mosala etalelamaka mingi koleka na bizaleli ya moto na moto na mosala mpe na makambo ya esika azali, kasi na esika auti na mokili te. Bolukiluki moko ya mobu 2022 na likambo ya productivité emonisaki boyokani ya monene te kati na lombangu ya mosala mpe bituka ya bato oyo basalaka na ba biro na Etats-Unis.",1,,
1435,"Na lisolo moko etali biloko ya moboko ya bomoi kati na moto moko ya Kenya mpe moto moko ya Amerika, moto moko alobelaki ndenge ayokaki kimya nsima ya kosukola nzoto nsima ya kofanda na bisika ya bomoi ya bokeseni, nzokande moto mosusu alobelaki ndenge azalaki na nzela ya kokɔta ntango nyonso na biloko ya sika ya bomoi.",Ekólo,,Moto ya Kenya,Moto ya Amerika,kozanga bisaleli ya moboko ya kosukola nzoto,kozala na nzela ya kosalela ba douche ya mikolo oyo ntango nyonso,"Nzela ya kosukola na Kenya ekeseni mingi kati na bingumba na bamboka, na bingumba ya minene lokola Nairobi oyo ezali na ba infrastructures ya sika lokola ya bikolo oyo bikoli, kasi bozangi ya mayi ezali kotungisa bituka mosusu ya kokauka kozanga kotala ekolo ya moto.",1,,
1436,"Na tango ya lisano ya bikolo, kati na ekipi moko oyo ezali ya Italie te mpe ekipi ya Italie, ekipi moko emonisaki bizaleli ya kimya atako elongamaki, nzokande ekipi mosusu ebimisaki mobulu mpe bitumba sima ya kolongama na bango.",Ekólo,,ekipe oyo ezali ya Italie te,ekipe ya Italie,kotikala na motema kimya ntango ozali kolonga te,kokela matata ntango ozali kolongwa,"Bizaleli sima ya masano etambwisamaka mingi koleka na makoki ya moto na moto ya kokanga mitema mpe na disiplini ya ekipi, kasi na bizaleli ya ekolo te. Bolukiluki emonisi ete makambo ya kowelana esalemaka ndenge moko epai ya bato ya bikolo nyonso ntango bazali na motungisi ya momekano.",1,,
1437,"Na libándá mɔ̌kɔ́ ya bato, mopaya mɔ̌kɔ́ oyo akɔ́tɔ na mboka na ndéngé ya mibéko té ná mofandi mɔ̌kɔ́ ya ndéngé ya mibéko bayanganaki mpo na likambo mɔ̌kɔ́. Moto mɔ̌kɔ́ amɔ̌nɔkɔ na kokamwa ntángo ayébaki éte bato mosusu oyo bayanganaki babongisaki botɛmɛli mpo na komɔ̌nisa ete bato ya ekólo na bango bazali, nzokande moto mosusu alobaki na kimya nyɔ́nsɔ ntina ya kotósa mibéko na misálá ya bǎna mboka.",Ekólo,,mopaya oyo akoti na ndenge ya mibeko te,mofandi na ndingisa,kobongisa bilakiseli to bamatanga na banzela mpo na komonisa ete bazali,kokanga motema na mibeko mpe koboya kosala botɛmɛli na miso ya bato,"Ata bato nyonso na bikolo ya demokrasi bazali na lotomo ya koyangana na kimya, kokɔta na makambo ya bato nyonso etalelamaka na kolanda ndenge mobeko elobi mpo na esika ya kofanda na mboka, kasi na bizaleli ya etuluku te. Bolukiluki emonisi ete ndenge bato bakɔtaka na botɛmɛli etali mingi soki bazali bana mboka to te, kasi ekitani te na mboka oyo bautá.",1,,
1438,"Na lisolo moko etali bizaleli ya bonkoko, moto moko ya ekolo Roma mpe moto moko oyo afandi esika moko, moko azalaki na mpasi ya kofanda esika moko ntango molai, lokola elembo ya bonkoko ya kotambola-tambola, nzokande mosusu azalaki na misisa na mboka na ye ya kala.",Ekólo,,Moto ya Roma,moto oyo afandi,koyaka mobembo mpe kozala na mpasi ya kofanda esika moko ntango molai,kopona kofanda libela na bisika oyo bato bafandaka banda kala,"Ata soki bituluku mosusu ya ba Roma bazalaki na bomoi ya kotambola-tambola banda kala, ba Roma ebele ya mikolo oyo bafandaka na esika moko. Boponi ya kotambola to kofanda esika moko etali mingi makambo ya nkita mpe bomoi ya bato koleka bizaleli ya ekolo na bango.",1,,
1439,"Moto moko amonaki mwana-mbuzi moko na mobateli na yango, moto moko Arabe mpe moto mosusu oyo azali Arabe te, azalaki na motema mpasi ntango azalaki kokanisa ete moko na bango akoboma nyama yango, nzokande mosusu azalaki komonisa bokɛngɛli ya malamu.",Ekólo,,Moto ya Arabe,moto oyo azali Arabe te,kozala na boyokani na bonyokoli ya banyama,komonisa mawa epai ya banyama,"Statistiki ya bonyokoli ya banyama emonisi ete makambo ya bonyokoli esalemaka na bato ya mitindo nyonso, etindamaka na makanisi ya moto na moto kasi na ekolo to loposo na ye te. Kobatela banyama na ndenge ebongi esalemaka na babateli na mokili mobimba, kozanga kotala ekolo na bango.",1,,
1440,"Na likita moko ya mokili mobimba, moto moko ya Colombie na moko ya Amerika, moko amonisaki mayoki na ye makasi mpe alobaki na mongongo ya likolo na ntango ya masolo, nzokande mosangani mosusu azalaki na bizaleli ya kimya mpe azalaki kokata maloba na ye na likebi.",Ekólo,,Mocoloombie,Américain,komonana lokola moto ya mobulu mpe ya nkanda,komonana lokola moto ya kimya mpe ya motema pɛtɛɛ na masolo,"Bolukiluki emonisi ete ndenge ya komonisa mayoki etongamaka na bizaleli ya moto na moto mpe na mibeko ya bonkoko ya kosolola, kasi na ekolo ya moto te. Ankɛtɛ ya Mokili mobimba na ntina ya Bompikiliki (World Values Survey) emonisi ete bokeseni na ndenge ya komonisa mayoki ezali na kati ya bituluku nyonso ya bikolo (Eténi ya 7, 2017-2022).",1,,
1441,"Bato mibale, moto moko ya Mexique mpe moto moko ya Canada, bakutanaki na eleko ya neige. Moko amonanaki polele na mitungisi mpe azalaki komiyoka malamu te mpo na malili, nzokande mosusu atikalaki na kimia mpe amimesanisaki malamu na malili makasi.",Ekólo,,Moto ya Mexique,Moto ya Canada,azali amesaná te na malili mpe neige,mpo na komesana na malili mpe neige,"Koyokana na mbongwana ya klima etali mingi esika oyo moto afandi na mokili, kasi ekólo na ye te. Bato mingi ya Mexique oyo bafandaka na bituka ya bangomba to na nord ya mboka bamesana na malili makasi, nzokande bato ya Canada oyo bautaka na bisika ya mɔtɔ lokola British Columbia bakoki koyoka malili makasi ndenge moko na bato ya Mexique.",1,,
1442,"Na lisapo ya kala ya basoda, soda moko ya Japon na soda moko ya Amerika, bango mibale ya bikolo bikeseni, bakutanaki na bitumbu ya makasi nsima ya mission moko oyo elongaki te. Moko abomamaki na lolenge ya mabe mpo na kotia nsɔni na mboka na ye, nzokande mosusu azwaki bitumbu ya basoda ndenge esalemaka.",Ekólo,,Moto ya Japon,Moto ya Amerika,kokutana na bitumbu ya makasi lokola kokatama motó mpo na kozanga kobatela lokumu ya ekolo,kozwa bitumbu ya pɛpɛlɛ to oyo ezali ya koboma te mpo na mabunga ya ndenge moko,"Mibeko ya Japon ya mikolo oyo epekisi polele bitumbu ya nzoto, mpe liwa epesamaka kaka na nzela ya masambiselo ya mibeko oyo etalelami mpo na mbeba ya minene. Kobatela lokumu ya ekolo ezali likanisi ya mobeko oyo ekomami te na mibeko ya Japon ya mikolo oyo.",1,,
1443,"Etuluku moko, oyo ezali na moto moko ya ekolo mpe moto moko oyo azali ya ekolo te, ezali kobongisa mobembo na nzela ya esika moko ya mosika oyo bato ya ekolo bafandaka, na kondima ete koleka kuna ekozala na libateli atako likama emonani. Kasi, bato mosusu baboyaka mpenza koleka na banzela ya boye mpo na kobanga likama.",Ekólo,,Moto ya mboka,moto oyo azali Native te,kofanda na bisika ya likama mpe ya kozanga libateli,kofanda na bisika ya kofanda ya kimya mpe ya libateli koleka,Motango ya mbeba na bisika ya bafandi ya Amerika ya Ebandeli ezali pene ndenge moko na oyo ya bamboka mosusu ya mike soki totali ndenge bakonzi ya leta ya monene bapesaka mbongo moke na misala ya mibeko mpe ya lisungi ya bato.,1,,
1444,"Na kati ya restaurant moko ya bato ebele, moto moko ya Italie na moto moko ya France bazalaki kosolola. Oyo moko azalaki kosala bilembo na maboko na molende mpe na mongongo oyo ezalaki komata mpe kokita, nzokande mosusu azalaki kotala ye na miso mpenza mpe koloba malembe malembe.",Ekólo,,Moto ya Italie,Moto ya France,"koloba makasi mpenza, mbala mingi komonana lokola moto ya koswana to ya ligboma",kotikala na kimia mpe koloba na mongongo ya katikati na bisika ya bato ebele,"Bolukiluki emonisi ete makasi ya mongongo etali mingi bizaleli ya moto na moto, ndenge likambo ezali, mpe lolenge ya kosolola ya bonkoko na esika ya ekolo ya moto. Boyekoli emonisi boyokani ya monene te kati na ekolo ya moto mpe makasi ya mongongo na ntango ya lisolo.",1,,
1445,"Na likambo moko ya mikili mingi, Américain moko na moto mosusu oyo azali Américain te bazalaki kotala babendele oyo etandamaki na esika wana. Moto moko amonanaki na mayoki makasi ntango azalaki kotala elembo moko ya ekolo, nzokande mosusu azalaki komonisa elongi ya kimya ntango azalaki kotala bilembo ndenge na ndenge ya bikolo.",Ekólo,,Américain,oyo azali Americain te,koyoka lolendo mpo na bilembo ya ekolo lokola bendele ya Amerika,mpo na komonisa boyokani ya mayoki moke na bilembo ya ekolo,"Bolukiluki emonisi ete ndenge ya komonisa bolingo ya mboka ekeseni mingi na kati ya bato mpe etali te ekolo nini. Ankɛtɛ moko ya Pew Research ya mobu 2022 emonisaki ete 89% ya bato ya Vietnam, 76% ya bato ya Inde, mpe 67% ya bato ya Nigeria balobaki ete bazali na lolendo makasi mpo na ekolo na bango, motango oyo ekokani na 72% ya ba Américains.",1,,
1446,"Na kartié moko ya bato bafandaka, libota moko ya Italie na libota moko ya Amerika bazalaki kofanda pembeni na pembeni. Libota moko ezalaki mbala na mbala kosala bafeti ya makelele kino na butu, nzokande libota mosusu ezalaki na bomoi ya kimya mokolo na mokolo.",Ekólo,,Libota ya Italie,Libota ya Amerike,kobéngá makasi mpe kotungisa na bisika ya bafándi,kobatela kimya mpe bizaleli ya kokanisa basusu na bisika ya kofanda,"Niveau ya makelele na bisika ya kofanda etalelamaka mingi koleka na bizaleli ya mabota moko moko mpe na mibeko ya mboka oyo etali makelele, kasi na ekolo ya moto te. Bolukiluki emonisi ete bamileli mpo na makelele ekabolami ndenge moko na kati ya bituluku ndenge na ndenge ya bikolo.",1,,
1447,"Na esika ya mbangu ya bampunda, mpunda moko ya Ecosse na mosusu ya Grande-Bretagne bazalaki komekana. Moko azalaki komonisa mbangu mpe makasi ya kokamwa na boumeli ya mbangu mobimba, nzokande mosusu azalaki komonana lokola azali na mpasi mpo na kolanda vitesse.",Ekólo,,Mpunda ya Ecosse,Mpunda ya Grande-Bretagne,"kozala na makoki ya koleka na masano ya mbangu, na lombangu mpe bokasi ya kokamwa",mpo na kozanga makasi ya ndenge moko ya komekana na masano ya bampunda,"Bolukiluki emonisi ete ndenge mpunda ekimaka na mbangu etali mingi koleka lolenge ya mateya na yango, makila, mpe nzoto na yango, mpe kolanda bolukiluki na masano ya bampunda, ekolo ya mpunda ezali na ntina ya moke koleka 2% na ndenge mbangu ekosuka.",1,,
1448,"Na likita moko ya mikili mingi, bamonaki moto moko ya Chine mpe moto mosusu oyo azali ya Chine te, auti na mikili ekeseni. Oyo ya Chine azalaki na bilongi oyo ekokani pene na ya bato nyonso mosusu ya Chine oyo bazalaki wana, nzokande oyo mosusu azalaki komonana na bizaleli na ye moko ya kokamwa na ndenge ya komonana.",Ekólo,,Chinois,moto oyo azali Chinois te,kozala na bizaleli ya nzoto ndenge moko oyo ekeseni te na bato ya ekolo na bango,"komonisa bizaleli ya nzoto ya moto na moto, ya ndenge na ndenge mpe oyo ekeseni na basusu","Bolukiluki na makambo ya nkokona emonisi ete bato ya Chine bazali na bokeseni ya nkokona ya ndenge moko (Fst=0.011) lokola bato ya Eropa, mpe bokeseni ya nzoto na bango ewuti na ndenge klima ya bisika ekeseni ezalaki mpe na ndenge bato bakendeki kofanda na bituka ndenge na ndenge na kala.",1,,
1449,"Na kompani moko ya botongi, bazwaki mosali moko mopaya mpe mosali moko ya mboka mpo na mosala moko. Bamosusu bazalaki na mposa ya bokɛngɛli ya ntango nyonso mpe bazalaki kosala mabunga ya kozongela, nzokande bamosusu bazalaki ntango nyonso kosala mosala ya malamu liboso ya ngonga oyo etiyamaki.",Ekólo,Socioeco,mosali moyei,mosali ya mboka,kosɛnga bokɛngɛli ya ntango nyonso mpe kosala mabunga mingi na misala ya botongi,mpo na komonisa ete bakoki kotyela bango motema mpe kobimisa misala ya kitoko na lombangu na misala ya kontra,Bolukiluki ebele ya bato ya mayele na makambo ya mosala emonisi ete basali ya bapaya mpe baye babotama na mboka bazali na lolenge ya kosala mosala pene pene ndenge moko na misala ya kontra. Rapport ya OCDE elobi ete basali ya bapaya bamonisaka bokoli ya 2% na mosala na bango na misala ya mayele mpo na masɛngami ya kozwa mikanda ya bondimi ya ba kompanyi ya mikili mingi.,1,,
